"","iso","year","threshold","mnninc999i","mhweal999i","w","n","currency"
"1","AE",2010,1e+05,224737945527.497,452033589722.374,369130796880,817970,"EUR"
"2","AE",2010,2e+05,224737945527.497,452033589722.374,310473512038,401776,"EUR"
"3","AE",2010,5e+05,224737945527.497,452033589722.374,224514914647,118034,"EUR"
"4","AE",2010,1e+06,224737945527.497,452033589722.374,176868556457,48252,"EUR"
"5","AE",2010,2e+06,224737945527.497,452033589722.374,136570299697,18423,"EUR"
"6","AE",2010,5e+06,224737945527.497,452033589722.374,98423717515,5729,"EUR"
"7","AE",2010,1e+07,224737945527.497,452033589722.374,74706345987,2253,"EUR"
"8","AE",2010,2e+07,224737945527.497,452033589722.374,53785994603,729,"EUR"
"9","AE",2010,5e+07,224737945527.497,452033589722.374,36811939505,183,"EUR"
"10","AE",2010,1e+08,224737945527.497,452033589722.374,29046541933,63,"EUR"
"11","AE",2010,2e+08,224737945527.497,452033589722.374,27394739563,49,"EUR"
"12","AE",2010,5e+08,224737945527.497,452033589722.374,18327029068,22,"EUR"
"13","AE",2010,1e+09,224737945527.497,452033589722.374,5959041089,3,"EUR"
"14","AE",2010,2e+09,224737945527.497,452033589722.374,2640081495,1,"EUR"
"15","AE",2010,5e+09,224737945527.497,452033589722.374,0,0,"EUR"
"16","AE",2010,1e+10,224737945527.497,452033589722.374,0,0,"EUR"
"17","AE",2010,2e+10,224737945527.497,452033589722.374,0,0,"EUR"
"18","AE",2010,5e+10,224737945527.497,452033589722.374,0,0,"EUR"
"19","AE",2010,1e+11,224737945527.497,452033589722.374,0,0,"EUR"
"20","AE",2011,1e+05,257707130267.138,526922016678.304,426300067575,1041493,"EUR"
"21","AE",2011,2e+05,257707130267.138,526922016678.304,350294589153,498717,"EUR"
"22","AE",2011,5e+05,257707130267.138,526922016678.304,242960389505,145120,"EUR"
"23","AE",2011,1e+06,257707130267.138,526922016678.304,182919839845,55895,"EUR"
"24","AE",2011,2e+06,257707130267.138,526922016678.304,133444137013,19161,"EUR"
"25","AE",2011,5e+06,257707130267.138,526922016678.304,91832804089,5210,"EUR"
"26","AE",2011,1e+07,257707130267.138,526922016678.304,69309090533,1942,"EUR"
"27","AE",2011,2e+07,257707130267.138,526922016678.304,52443084005,696,"EUR"
"28","AE",2011,5e+07,257707130267.138,526922016678.304,36700693344,171,"EUR"
"29","AE",2011,1e+08,257707130267.138,526922016678.304,30300593785,66,"EUR"
"30","AE",2011,2e+08,257707130267.138,526922016678.304,28400166415,53,"EUR"
"31","AE",2011,5e+08,257707130267.138,526922016678.304,14804928249,18,"EUR"
"32","AE",2011,1e+09,257707130267.138,526922016678.304,3161021113,2,"EUR"
"33","AE",2011,2e+09,257707130267.138,526922016678.304,0,0,"EUR"
"34","AE",2011,5e+09,257707130267.138,526922016678.304,0,0,"EUR"
"35","AE",2011,1e+10,257707130267.138,526922016678.304,0,0,"EUR"
"36","AE",2011,2e+10,257707130267.138,526922016678.304,0,0,"EUR"
"37","AE",2011,5e+10,257707130267.138,526922016678.304,0,0,"EUR"
"38","AE",2011,1e+11,257707130267.138,526922016678.304,0,0,"EUR"
"39","AE",2012,1e+05,298587229934.596,617342602859.385,504133316940,1286581,"EUR"
"40","AE",2012,2e+05,298587229934.596,617342602859.385,409256267178,610452,"EUR"
"41","AE",2012,5e+05,298587229934.596,617342602859.385,278933262681,181328,"EUR"
"42","AE",2012,1e+06,298587229934.596,617342602859.385,202234000680,66769,"EUR"
"43","AE",2012,2e+06,298587229934.596,617342602859.385,141496785955,22008,"EUR"
"44","AE",2012,5e+06,298587229934.596,617342602859.385,92790324831,5472,"EUR"
"45","AE",2012,1e+07,298587229934.596,617342602859.385,68796034755,1970,"EUR"
"46","AE",2012,2e+07,298587229934.596,617342602859.385,51814072593,714,"EUR"
"47","AE",2012,5e+07,298587229934.596,617342602859.385,35875530525,178,"EUR"
"48","AE",2012,1e+08,298587229934.596,617342602859.385,29036437864,68,"EUR"
"49","AE",2012,2e+08,298587229934.596,617342602859.385,26929105460,53,"EUR"
"50","AE",2012,5e+08,298587229934.596,617342602859.385,16467468652,23,"EUR"
"51","AE",2012,1e+09,298587229934.596,617342602859.385,5059197872,3,"EUR"
"52","AE",2012,2e+09,298587229934.596,617342602859.385,2257180589,1,"EUR"
"53","AE",2012,5e+09,298587229934.596,617342602859.385,0,0,"EUR"
"54","AE",2012,1e+10,298587229934.596,617342602859.385,0,0,"EUR"
"55","AE",2012,2e+10,298587229934.596,617342602859.385,0,0,"EUR"
"56","AE",2012,5e+10,298587229934.596,617342602859.385,0,0,"EUR"
"57","AE",2012,1e+11,298587229934.596,617342602859.385,0,0,"EUR"
"58","AE",2013,1e+05,304948990652.351,628216488452.206,511191592070,1370601,"EUR"
"59","AE",2013,2e+05,304948990652.351,628216488452.206,407674847442,632111,"EUR"
"60","AE",2013,5e+05,304948990652.351,628216488452.206,271543703426,182164,"EUR"
"61","AE",2013,1e+06,304948990652.351,628216488452.206,193937429764,66124,"EUR"
"62","AE",2013,2e+06,304948990652.351,628216488452.206,132440677811,20643,"EUR"
"63","AE",2013,5e+06,304948990652.351,628216488452.206,86104278369,4829,"EUR"
"64","AE",2013,1e+07,304948990652.351,628216488452.206,64782502779,1703,"EUR"
"65","AE",2013,2e+07,304948990652.351,628216488452.206,50237235606,623,"EUR"
"66","AE",2013,5e+07,304948990652.351,628216488452.206,36271487158,154,"EUR"
"67","AE",2013,1e+08,304948990652.351,628216488452.206,31059504282,68,"EUR"
"68","AE",2013,2e+08,304948990652.351,628216488452.206,28871335206,52,"EUR"
"69","AE",2013,5e+08,304948990652.351,628216488452.206,18370622766,20,"EUR"
"70","AE",2013,1e+09,304948990652.351,628216488452.206,7341214970,4,"EUR"
"71","AE",2013,2e+09,304948990652.351,628216488452.206,5044732338,2,"EUR"
"72","AE",2013,5e+09,304948990652.351,628216488452.206,0,0,"EUR"
"73","AE",2013,1e+10,304948990652.351,628216488452.206,0,0,"EUR"
"74","AE",2013,2e+10,304948990652.351,628216488452.206,0,0,"EUR"
"75","AE",2013,5e+10,304948990652.351,628216488452.206,0,0,"EUR"
"76","AE",2013,1e+11,304948990652.351,628216488452.206,0,0,"EUR"
"77","AE",2014,1e+05,317247193320.826,672813606599.555,552633540616,1451303,"EUR"
"78","AE",2014,2e+05,317247193320.826,672813606599.555,443442916700,672981,"EUR"
"79","AE",2014,5e+05,317247193320.826,672813606599.555,298740439125,195186,"EUR"
"80","AE",2014,1e+06,317247193320.826,672813606599.555,215603459106,70924,"EUR"
"81","AE",2014,2e+06,317247193320.826,672813606599.555,149593496030,22227,"EUR"
"82","AE",2014,5e+06,317247193320.826,672813606599.555,99686618654,5243,"EUR"
"83","AE",2014,1e+07,317247193320.826,672813606599.555,76550954795,1856,"EUR"
"84","AE",2014,2e+07,317247193320.826,672813606599.555,60767177300,681,"EUR"
"85","AE",2014,5e+07,317247193320.826,672813606599.555,45543502788,169,"EUR"
"86","AE",2014,1e+08,317247193320.826,672813606599.555,39865898242,72,"EUR"
"87","AE",2014,2e+08,317247193320.826,672813606599.555,37508902665,56,"EUR"
"88","AE",2014,5e+08,317247193320.826,672813606599.555,27052996500,25,"EUR"
