country,variable,percentile,year,value
AT,npopuli992,p0p100,2023,7385006
AT,xlceuxi999,p0p100,2023,1
AT,ahwealj992,p58p59,2023,142352.7
AT,ahwealj992,p78p79,2023,301755.8
AT,ahwealj992,p0p1,2023,-356711.2
AT,ahwealj992,p0p10,2023,-53502.8
AT,ahwealj992,p0p100,2023,279592.2
AT,ahwealj992,p0p11,2023,-48539.10000000001
AT,ahwealj992,p0p12,2023,-44360.60000000001
AT,ahwealj992,p0p13,2023,-40770.7
AT,ahwealj992,p0p14,2023,-37645.9
AT,ahwealj992,p0p15,2023,-34876.7
AT,ahwealj992,p0p16,2023,-32400.9
AT,ahwealj992,p0p17,2023,-30153.1
AT,ahwealj992,p0p18,2023,-28074.5
AT,ahwealj992,p0p19,2023,-26140.2
AT,ahwealj992,p0p2,2023,-222319.5
AT,ahwealj992,p0p20,2023,-24357.6
AT,ahwealj992,p0p21,2023,-22687.5
AT,ahwealj992,p0p22,2023,-21105.9
AT,ahwealj992,p0p23,2023,-19587.3
AT,ahwealj992,p0p24,2023,-18131.2
AT,ahwealj992,p0p25,2023,-16735.3
AT,ahwealj992,p0p26,2023,-15397
AT,ahwealj992,p0p27,2023,-14094.2
AT,ahwealj992,p0p28,2023,-12809.3
AT,ahwealj992,p0p29,2023,-11535.2
AT,ahwealj992,p0p3,2023,-162271.9
AT,ahwealj992,p0p30,2023,-10286.3
AT,ahwealj992,p0p31,2023,-9052.9
AT,ahwealj992,p0p32,2023,-7832.6
AT,ahwealj992,p0p33,2023,-6616.1
AT,ahwealj992,p0p34,2023,-5390.900000000001
AT,ahwealj992,p0p35,2023,-4157.6
AT,ahwealj992,p0p36,2023,-2916.7
AT,ahwealj992,p0p37,2023,-1643.6
AT,ahwealj992,p0p38,2023,-332.1
AT,ahwealj992,p0p39,2023,988.7
AT,ahwealj992,p0p4,2023,-127818.1
AT,ahwealj992,p0p40,2023,2350.7
AT,ahwealj992,p0p41,2023,3733.1
AT,ahwealj992,p0p42,2023,5161.700000000001
AT,ahwealj992,p0p43,2023,6636.3
AT,ahwealj992,p0p44,2023,8139.400000000001
AT,ahwealj992,p0p45,2023,9665.9
AT,ahwealj992,p0p46,2023,11217.7
AT,ahwealj992,p0p47,2023,12764.5
AT,ahwealj992,p0p48,2023,14302.2
AT,ahwealj992,p0p49,2023,15848
AT,ahwealj992,p0p5,2023,-105139.9
AT,ahwealj992,p0p50,2023,17445.2
AT,ahwealj992,p0p51,2023,19073.2
AT,ahwealj992,p0p52,2023,20754
AT,ahwealj992,p0p53,2023,22472.5
AT,ahwealj992,p0p54,2023,24215.7
AT,ahwealj992,p0p55,2023,25980
AT,ahwealj992,p0p56,2023,27777.7
AT,ahwealj992,p0p57,2023,29597.1
AT,ahwealj992,p0p58,2023,31449.7
AT,ahwealj992,p0p59,2023,33329.4
AT,ahwealj992,p0p6,2023,-88752.90000000001
AT,ahwealj992,p0p60,2023,35248.5
AT,ahwealj992,p0p61,2023,37195.8
AT,ahwealj992,p0p62,2023,39169.8
AT,ahwealj992,p0p63,2023,41175.7
AT,ahwealj992,p0p64,2023,43218.60000000001
AT,ahwealj992,p0p65,2023,45295.5
AT,ahwealj992,p0p66,2023,47413.9
AT,ahwealj992,p0p67,2023,49574.2
AT,ahwealj992,p0p68,2023,51763.5
AT,ahwealj992,p0p69,2023,54021.9
AT,ahwealj992,p0p7,2023,-76437.1
AT,ahwealj992,p0p70,2023,56333.9
AT,ahwealj992,p0p71,2023,58666.3
AT,ahwealj992,p0p72,2023,61049.60000000001
AT,ahwealj992,p0p73,2023,63468.3
AT,ahwealj992,p0p74,2023,65961.2
AT,ahwealj992,p0p75,2023,68501.90000000001
AT,ahwealj992,p0p76,2023,71123.8
AT,ahwealj992,p0p77,2023,73838.6
AT,ahwealj992,p0p78,2023,76622.90000000001
AT,ahwealj992,p0p79,2023,79472.70000000001
AT,ahwealj992,p0p8,2023,-66938.3
AT,ahwealj992,p0p80,2023,82384.5
AT,ahwealj992,p0p81,2023,85384.40000000001
AT,ahwealj992,p0p82,2023,88446
