,Automotive,Personal luxury goods,Hospitality,Wines & spirits,Gourmet food & dining,Design & furniture,Yachts,Total,Share %,GDP %,Ratio
FR,13.239773249578674,24.13108242303873,10.869167429094237,5.387755102040816,4.7368421052631575,1.883182275931521,5.544354838709676,65.79215742365682,22.00406602797887,16.154608523290385,1.3620921854129253
IT,11.09606250957561,19.304865938430982,10.375114364135408,4.040816326530613,4.008097165991901,3.544813695871098,8.568548387096774,60.938318387632386,20.380708490846953,12.190287413280474,1.6718808835174452
DE,31.009652213880806,12.065541211519365,3.9524245196706307,3.591836734693878,2.3684210526315788,2.2155085599194364,1.008064516129032,56.21144880844473,18.799815654998238,24.2814667988107,0.7742454692201316
ES,6.835605944538074,7.239324726911617,8.89295516925892,2.4693877551020407,2.3684210526315788,0.7754279959718028,2.52016129032258,31.101283934736614,10.401767202253048,8.622398414271554,1.2063658743762444
NL,3.3975792860425926,2.8152929493545185,1.4821591948764867,0.673469387755102,0.4554655870445343,0.44310171198388726,1.008064516129032,10.275132633186153,3.436499208423463,5.946481665014866,0.5779046168832124
AT,2.7639037842806804,2.010923535253227,2.470265324794144,0.673469387755102,0.4554655870445343,0.33232628398791547,0.0756048387096774,8.78195874182528,2.937109947098756,2.7750247770069376,1.0584085487938015
BE,4.246974107553241,2.010923535253227,0.7410795974382434,0.673469387755102,0.4554655870445343,0.27693856998992955,0.37802419354838707,8.782874978582663,2.9374163807968774,3.468780971258672,0.8468151794925856
GR,0.5258158418875442,0.8043694141012909,3.458371454711802,0.336734693877551,0.2732793522267206,0.08862034239677746,2.2681451612903225,7.755336260492009,2.593757946652846,1.288404360753221,2.013155206286709
PL,2.6021142944691285,1.3674280039721947,0.9881061299176577,0.5612244897959184,0.36437246963562747,0.22155085599194363,0.126008064516129,6.230804308298599,2.0838810395647487,4.658077304261645,0.4473693550895386
SE,2.5616669220162405,1.4478649453823236,0.7410795974382434,0.44897959183673475,0.2732793522267206,0.22155085599194363,0.37802419354838707,6.072445458440593,2.030918213525282,2.973240832507433,0.6830654924823366
PT,0.7819825340891681,0.9652432969215492,2.470265324794144,0.44897959183673475,0.36437246963562747,0.11077542799597181,0.37802419354838707,5.519642838821582,1.84603439425471,1.5857284440039643,1.1641554398768765
IE,1.7392370154741843,0.9652432969215492,0.7410795974382434,0.336734693877551,0.23684210526315788,0.08862034239677746,0.126008064516129,4.233765115887592,1.4159749551463519,2.973240832507433,0.4762395765808897
CZ,1.6313773555998161,0.8043694141012909,0.8892955169258919,0.336734693877551,0.2186234817813765,0.11077542799597181,0.05040322580645161,4.04157911608835,1.351698701032893,1.9821605550049552,0.6819319946710946
DK,0.9842193963536081,1.0456802383316783,0.7410795974382434,0.336734693877551,0.23684210526315788,0.16616314199395774,0.37802419354838707,3.8887433668065836,1.3005830658215998,2.279484638255698,0.5705601362669541
HR,0.24268423471732803,0.2413108242303873,1.235132662397072,0.1346938775510204,0.10931174089068825,0.03323262839879155,1.5120967741935483,3.508462742378836,1.173398910494594,0.4955401387512388,2.367919001378091
RO,0.633675501761912,0.6434955312810328,0.3952424519670631,0.22448979591836737,0.18218623481781374,0.08862034239677746,0.05040322580645161,2.218113083949418,0.7418438407857585,2.180376610505451,0.34023656152401377
FI,0.566263214340432,0.7239324726911618,0.3458371454711802,0.22448979591836737,0.145748987854251,0.11077542799597181,0.126008064516129,2.2430551087874933,0.7501856551128739,1.5857284440039643,0.47308582875555616
LU,1.1999387161023443,0.4826216484607746,0.19762122598353155,0.1795918367346939,0.10931174089068825,0.05538771399798591,0.05040322580645161,2.27487610797647,0.7608281297580167,0.4955401387512388,1.5353511658516779
HU,0.4314386394974721,0.40218470705064546,0.5928636779505946,0.22448979591836737,0.145748987854251,0.0664652567975831,0.025201612903225805,1.8883926779721394,0.6315694575157658,1.0901883052527255,0.5793214387576433
CY,0.10785965987436802,0.3217477656405164,0.6916742909423604,0.1346938775510204,0.0728744939271255,0.011077542799597183,0.0756048387096774,1.4155324694446654,0.47342223058350014,0.19821605550049554,2.3884151532937583
BG,0.16178948981155203,0.2413108242303873,0.49405306495882884,0.1346938775510204,0.10931174089068825,0.03323262839879155,0.0756048387096774,1.2499964645509458,0.41805901824446345,0.5946481665014866,0.7030359156811061
SK,0.40447372452888003,0.2413108242303873,0.19762122598353155,0.11224489795918369,0.0728744939271255,0.03323262839879155,0.025201612903225805,1.0869594079311253,0.3635315745589048,0.6937561942517344,0.5240047981856213
SI,0.3640263520759921,0.1608738828202582,0.2964318389752973,0.08979591836734695,0.0728744939271255,0.03323262839879155,0.10080645161290322,1.1180415661777148,0.3739269452099381,0.39643211100099107,0.9432307192920688
MT,0.026964914968592005,0.2413108242303873,0.3458371454711802,0.0673469387755102,0.03643724696356275,0.011077542799597183,0.0756048387096774,0.8045794519185071,0.2690901176984974,0.09910802775024777,2.7151192875778385
LT,0.256166692201624,0.1608738828202582,0.14821591948764865,0.0673469387755102,0.054655870445344125,0.022155085599194366,0.025201612903225805,0.7346160022328053,0.24569097064642317,0.4955401387512388,0.495804378764482
EE,0.06741228742148002,0.0804369414101291,0.14821591948764865,0.04489795918367347,0.03643724696356275,0.011077542799597183,0.025201612903225805,0.413679510169317,0.1383543512271963,0.19821605550049554,0.6979977019412054
LV,0.12134211735866401,0.0804369414101291,0.09881061299176577,0.04489795918367347,0.03643724696356275,0.011077542799597183,0.025201612903225805,0.4182040336106181,0.13986756976943748,0.2973240832507433,0.4704212596578748
Total,88.0,81.0,54.0,22.0,17.999999999999996,11.000000000000002,24.999999999999996,299.0,100.0,99.99999999999999,1.0
