geo,year,population,flag
AT,2023,9104772,
AT,2024,9158750,
AT,2025,9197213,
AT,2026,9215956,
BE,2023,11742796,
BE,2024,11817096,
BE,2025,11883495,
BE,2026,11955308,p
BG,2023,6447710,
BG,2024,6445481,
BG,2025,6437360,
BG,2026,6423207,
CY,2023,949084,
CY,2024,966365,
CY,2025,982966,
CY,2026,996571,p
CZ,2023,10827529,
CZ,2024,10900555,
CZ,2025,10909500,
CZ,2026,10915839,
DE,2023,83118501,b
DE,2024,83456045,
DE,2025,83577140,
DE,2026,83467117,
DK,2023,5932654,
DK,2024,5961249,
DK,2025,5992734,
DK,2026,6025603,
EE,2023,1365884,
EE,2024,1374687,
EE,2025,1369995,
EE,2026,1360745,
EL,2023,10401868,
EL,2024,10375764,
EL,2025,10372335,
EL,2026,10366586,ep
ES,2023,48085361,
ES,2024,48619695,
ES,2025,49128297,
ES,2026,49590099,p
FI,2023,5563970,
FI,2024,5603851,
FI,2025,5635971,
FI,2026,5652881,
FR,2023,68436003,
FR,2024,68669303,p
FR,2025,68882600,p
FR,2026,69112309,p
HR,2023,3850894,
HR,2024,3861967,
HR,2025,3874350,
HR,2026,3876002,
HU,2023,9599744,
HU,2024,9584627,
HU,2025,9539502,
HU,2026,9488428,
IE,2023,5271395,
IE,2024,5351681,
IE,2025,5440278,
IE,2026,5510565,
IT,2023,58997201,
IT,2024,58971230,
IT,2025,58943464,
IT,2026,58942828,p
LT,2023,2857279,
LT,2024,2885891,
LT,2025,2890664,
LT,2026,2887592,
LU,2023,660809,
LU,2024,672050,
LU,2025,681973,
LU,2026,690959,
LV,2023,1895239,b
LV,2024,1878575,
LV,2025,1860565,
LV,2026,1845096,
MT,2023,542051,
MT,2024,563443,
MT,2025,574250,
MT,2026,588254,
NL,2023,17811291,
NL,2024,17942942,
NL,2025,18044027,
NL,2026,18130208,
PL,2023,36753736,
PL,2024,36620970,
PL,2025,36497495,
PL,2026,36332765,
PT,2023,10929704,
PT,2024,11204347,
PT,2025,11387222,
PT,2026,11424031,
RO,2023,19055228,e
RO,2024,19067576,e
RO,2025,19043151,e
RO,2026,19041322,e
SE,2023,10521556,
SE,2024,10551707,
SE,2025,10587710,
SE,2026,10605529,
SI,2023,2116972,
SI,2024,2123949,
SI,2025,2130850,
SI,2026,2135107,
SK,2023,5428792,
SK,2024,5424687,
SK,2025,5419451,
SK,2026,5409407,
